Date,Open,High,Low,Close,Volume,Adj Close
2013-01-18,52.33,52.35,51.89,52.11,5654300,50.90
2013-01-17,51.86,52.42,51.68,52.17,6376600,50.95
2013-01-16,51.61,51.95,51.57,51.76,4190100,50.55
2013-01-15,51.63,51.80,51.43,51.79,5472700,50.58
2013-01-14,51.41,51.94,51.15,51.89,5222300,50.68
2013-01-11,50.93,51.39,50.93,51.30,7209200,50.10
2013-01-10,50.45,51.24,50.45,51.23,6909500,50.04
2013-01-09,50.01,50.28,50.00,50.28,5895200,49.11
2013-01-08,49.94,50.16,49.68,49.85,4708000,48.69
2013-01-07,49.63,50.04,49.44,50.03,5178100,48.86
2013-01-04,49.85,50.10,49.66,49.99,5615700,48.82
2013-01-03,49.55,49.80,49.43,49.78,6082200,48.62
2013-01-02,49.02,49.69,49.00,49.68,8925500,48.52
2012-12-31,47.76,48.45,47.65,48.35,5069500,47.22
2012-12-28,48.12,48.42,47.90,47.92,3420100,46.80
2012-12-27,48.32,48.49,47.96,48.40,3980400,47.27
2012-12-26,48.63,48.88,48.22,48.30,2949000,47.17
2012-12-24,48.48,48.73,48.37,48.63,1516300,47.50
2012-12-21,48.76,49.12,48.16,48.67,11021400,47.54
2012-12-20,48.89,49.21,48.81,49.13,5907700,47.98
2012-12-19,49.26,49.35,48.74,48.75,5632100,47.61
2012-12-18,49.00,49.31,48.81,49.20,7721700,48.05
2012-12-17,49.32,49.41,48.89,49.04,9511400,47.90
2012-12-14,49.00,49.72,48.85,49.24,12003000,48.09
2012-12-13,49.30,49.80,48.17,48.50,16342900,47.37
2012-12-12,47.67,47.81,47.35,47.54,6023900,46.43
2012-12-11,47.36,47.81,47.36,47.55,6821100,46.44
2012-12-10,46.84,47.55,46.84,47.24,5332900,46.14
2012-12-07,46.74,46.90,46.59,46.84,4214500,45.75
2012-12-06,46.28,46.76,46.16,46.71,5960700,45.62
2012-12-05,46.03,46.35,45.81,46.18,5174500,45.10
2012-12-04,46.31,46.38,45.90,45.94,5833700,44.87
2012-12-03,46.53,46.67,46.19,46.28,5705200,45.20
2012-11-30,46.25,46.65,46.15,46.51,11184000,45.43
2012-11-29,46.00,46.39,45.91,46.34,5067100,45.26
2012-11-28,45.16,45.88,45.07,45.88,5896800,44.81
2012-11-27,45.39,45.99,45.22,45.25,5917000,44.20
2012-11-26,45.57,45.70,45.26,45.30,6223400,44.24
2012-11-23,45.78,45.86,45.48,45.83,2598000,44.76
2012-11-21,45.50,45.83,45.35,45.74,4140200,44.67
2012-11-20,45.12,45.57,44.95,45.57,6545200,44.51
2012-11-19,45.08,45.24,44.97,45.08,7706800,44.03
2012-11-16,44.79,45.04,44.33,44.80,9274300,43.76
2012-11-15,45.26,45.53,44.56,44.70,7837700,43.66
2012-11-14,46.26,46.40,45.39,45.41,9395800,44.35
2012-11-13,46.16,46.45,46.02,46.23,8726300,45.15
2012-11-12,46.60,46.93,46.16,46.25,4470200,45.17
2012-11-09,46.26,46.55,46.16,46.36,6476100,45.28
2012-11-08,46.58,46.87,46.28,46.43,6132900,45.35
2012-11-07,46.85,46.93,46.25,46.69,7369800,45.60
2012-11-06,47.66,47.78,45.93,46.88,15814400,45.79
2012-11-05,46.26,46.76,46.26,46.63,7648000,45.54
2012-11-02,46.77,46.91,46.42,46.56,6426800,45.47
2012-11-01,46.47,46.69,46.32,46.49,6273500,45.41
2012-10-31,46.30,46.71,46.04,46.40,7077500,45.32
2012-10-26,46.06,46.25,45.83,46.06,5377100,44.99
2012-10-25,46.30,46.45,45.78,46.11,4665800,45.04
2012-10-24,45.93,46.24,45.90,45.95,4916700,44.88
2012-10-23,45.88,46.10,45.59,45.88,5250100,44.81
2012-10-22,46.13,46.44,45.96,46.26,6876000,45.18
2012-10-19,46.56,46.68,46.06,46.20,7031400,45.12
